insp_order;coordinates
58259;POINT(3.784952612380937 50.93952424601937)
77787;POINT(2.682166182465541 51.1344772095060)
83710;POINT(4.550573752847436 50.7659951751814)
14264;POINT(4.103503354720513 51.11841520309642)
65117;POINT(3.6380264258770727 50.9981433234734)
94440;POINT(4.034477088195905 51.14423119846268)
294570;POINT(4.33760416444547 50.7343947060469)
296836;POINT(3.9539761663406385 50.7771061099025)
397699;POINT(4.380240581690022 50.8733637885414)
564234;POINT(4.519562088674343 50.92219176067598)
564335;POINT(4.519562088674343 50.92219176067598)
342899;POINT(3.4991930681955186 50.8404196982073)
720470;POINT(4.268816247325918 50.882965722860)
823428;POINT(4.188403997044807 51.05434455118507)
474637;POINT(4.547720210433484 50.95135948680078)
828775;POINT(3.5252533685168026 51.15088512342525)
851226;POINT(3.2047340193945617 51.18308385137855)
862454;POINT(2.633231 51.10862)
869103;POINT(2.8779481257687154 50.8552163303289)
902712;POINT(4.381589643623208 51.0698694928294)
900557;POINT(2.588037270341394 51.08907832977051)
976814;POINT(3.146978750406191 50.8678831909646)
942391;POINT(4.313059496951967 51.1541358603395)
349144;POINT(2.8879729105236893 50.8385406541189)
398890;POINT(3.223551632636811 51.2130524132097)
1017223;POINT(4.311531925860307 50.72996750044694)
1017585;POINT(3.905355 50.79068)
1017767;POINT(3.3110160386224177 51.20280362749820)
1062504;POINT(4.952374381687021 50.8249075730240)
896315;POINT(3.721880510425757 50.82581016129271)
1045494;POINT(3.7464090 51.049263)
1062845;POINT(4.338315 51.18856)
1070263;POINT(3.965673 50.90027)
1101984;POINT(3.965673 50.90027)
1109921;POINT(4.460101725875267 50.9685733443750)
288083;POINT(3.429808 51.10765)
314920;POINT(3.629787 50.85712)
1156052;POINT(4.617874052751726 50.77041498798982)
425569;POINT(3.54561251238471 50.9993838512852)
1166154;POINT(4.281553452864969 51.0456004198023)
488960;POINT(3.605067083532722 50.74186891682748)
313015;POINT(2.8853756105241786 50.8463795559918)
499817;POINT(2.8148506 50.743022)
71773;POINT(3.3220742771703966 51.3511782435599)
583181;POINT(3.2662574240165134 50.84430941295228)
693325;POINT(2.873640012377574 50.8859097466237)
795860;POINT(3.1353210970391556 50.9647743268063)
117740;POINT(4.594432061779794 51.01842756255556)
176829;POINT(3.498714041635371 50.8035719335195)
320861;POINT(3.4875899816770586 50.66643127660028)
341637;POINT(3.4991930681955186 50.8403722726820)
382136;POINT(3.012745697027941 50.7854071498997)
401966;POINT(3.226963466016499 51.2173853396186)
387874;POINT(3.285860587872325 50.9522249200315)
411322;POINT(4.673377237787122 51.2197540219577)
413388;POINT(2.8829965404571434 50.8554139594369)
400181;POINT(3.224448312388631 51.0622051569433)
430710;POINT(3.138077889604202 50.97088230940154)
407739;POINT(3.1256107970371843 50.9336661023605)
596358;POINT(4.829088712270248 50.78433546901691)
157291;POINT(3.7681078393732146 51.0568119439984)
631239;POINT(3.34299223646957 50.80632757529771)
566636;POINT(4.506638102178905 51.03374961080661)
59657;POINT(4.880738208013781 51.0521981405643)
239192;POINT(3.0754921562577766 50.8121992026416)
69986;POINT(4.00447228355464 51.09161879681748)
81544;POINT(3.1038863654050513 50.7984627778051)
156688;POINT(2.754551709246846 51.1483126192075)
49548;POINT(4.09070061228858 51.0802634375944)
14216;POINT(3.7992824702336043 51.06083828715643)
56381;POINT(3.6501712969371765 50.91606756636761)
242904;POINT(4.507433968219428 51.22184606276328)
83617;POINT(3.7590342970457944 51.07052262945773)
757016;POINT(4.833358663060223 50.782565032948)
756916;POINT(4.842863725764691 50.7899016550890)
813513;POINT(4.186656112282252 50.9783580274206)
860513;POINT(3.397002724011682 50.76757162737625)
885336;POINT(4.123888292059372 51.1146616968853)
872796;POINT(3.0660520036443617 51.29173486636767)
890340;POINT(3.660939368209922 51.070205221641)
970027;POINT(4.138920714693116 50.967675903463)
968152;POINT(4.132059154721091 51.1287161665150)
1062504;POINT(4.952374381687021 50.82489401837480)
1050420;POINT(4.126989983455054 51.1090122919044)
1071529;POINT(4.833632525877027 50.9971168747403)
1063825;POINT(3.7757488951005667 51.0840769818219)
1092241;POINT(4.068333181693253 50.9250722273460)
1114510;POINT(3.5326503950942927 50.9832895753412)
1123548;POINT(5.090160281605396 51.06725488200018)
274055;POINT(4.04816536820135 50.933933717073)
286229;POINT(3.8513382970427443 51.0225571951334)
343362;POINT(3.6001157835380058 50.8261599603788)
331552;POINT(4.195027756564447 51.0078751342404)
405942;POINT(3.870676770055238 50.98117668271835)
401264;POINT(3.774570227725197 50.9529972286839)
425415;POINT(3.6565325970322533 50.8550352578862)
450002;POINT(4.297560997051078 51.1550130577811)
401836;POINT(4.196381407413292 51.0091293235097)
413640;POINT(3.59590003935384 50.747548808492)
1191187;POINT(3.2108764412339004 51.2120446123669)
522577;POINT(3.486340768111957 51.07794092299618)
1237558;POINT(4.305614097313654 51.2184080228756)
744817;POINT(4.305144954625857 51.2068822586799)
122401;POINT(4.017274681691609 50.898423171476)
686360;POINT(3.3231311816980114 51.0010221064276)
332010;POINT(2.984528210549363 51.2476682768573)
537618;POINT(3.206664070055008 50.9773150754107)
1413535;POINT(4.346421210519559 50.77259102496566)
1425542;POINT(3.5461046240189633 50.8833027242012)
1450552;POINT(4.150450881697919 50.99992892488)
32587;
33173;
33627;
33673;
35815;
44076;
46155;
49596;
52501;
55726;
55772;
58825;
61255;
61163;
62396;
62471;
62490;
65492;
70779;
86527;
88495;
59638;
59619;
59676;
59733;
59752;
59771;
59790;
92932;
93771;
93777;
93867;
93915;
94646;
94878;
101796;
101845;
100502;
100540;
109260;
113100;
84083;
123566;
123615;
153775;
155130;
155111;
156295;
149586;
175056;
82307;
187543;
188533;
180265;
184222;
203575;
221165;
255808;
246699;
275948;
275997;
277540;
281293;
286380;
299566;
335333;
423797;
432227;
461800;
427116;
228294;
228392;
281092;
301842;
70033;
81314;
288833;
32577;
27033;
242954;
437397;
321706;
241875;
247471;
280111;POINT(4.678868555822901 51.30219917976135)
278551;POINT(4.721023210451323 51.300227066272704)
862199;POINT(3.0342273176937424 50.780228823003746)
963091;POINT(4.0399137540911525 51.206909899698296)
939823;POINT(3.3101087082903478 51.20261395914232)
384556;POINT(3.311030797191138 50.82890750029891)
346324;POINT(3.6134433950862386 50.85328985559557)
814683;POINT(4.845092381602733 51.024561924498876)
1067901;POINT(4.842800152756493 50.847904799573634)
1087455;POINT(4.5418872390881315 50.85362008187598)
1122583;POINT(4.530037007114773 50.83388387130558)
1129872;POINT(3.6466486414447257 50.97528200321814)
1178228;POINT(4.46764453848788 51.173561610072476)
1185579;POINT(2.917727983461966 51.220042567159346)
101368;POINT(4.1423809818132735 51.26174041306009)
495720;POINT(4.146451921786488 51.26089264794566)
1235946;POINT(4.608294996958264 51.25551942301844)
1249423;POINT(3.2751329392608763 50.82364738716914)
1277456;POINT(4.705563039263125 50.85992751664563)
1322346;POINT(4.4760576460486625 51.00595263122772)
754022;POINT(3.2869191969330758 50.84981386213323)
1374760;POINT(3.5163304225108702 50.96483432471567)
1381248;POINT(3.020451601421919 50.78433413257756)
1391163;POINT(3.3703938195599688 50.850900315309296)
1408839;POINT(3.2945274764394243 50.850792142033974)
1499717;POINT(4.4967001321813544 51.249910233185105)
